Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,42.445277,-70.758333,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,CF-TLU,Mcdonnell Douglas,DC9,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,Personal,Air Canada,0.0,0.0,1.0,44.0,VMC,Climb,Probable Cause,19-09-2017
20001213X27446,Accident,LAX89LA068,1988-12-23,"Midway Islands, PO",United States,38.54,-173.24,NONE,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N146UA,Boeing,747SP-21,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,1.0,1.0,220.0,UNK,Cruise,Probable Cause,02-02-2016
20010820X01734,Accident,LAX01MA272,2001-08-10,"Meadview, AZ",United States,35.988611,-113.983333,Unknown,John F. Kennedy International,Fatal(6),Destroyed,Helicopter,N169PA,Eurocopter,AS350-B2,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,Papillon Grand Canyon Helicopters,6.0,1.0,0.0,3.0,VMC,Maneuvering,Probable Cause,22-06-2012
20020621X00955,Accident,CHI02LA170,2002-06-16,"KANSAS CITY, MO",United States,39.297777,-94.713889,MCI,Kansas City International,Non-Fatal,Substantial,Airplane,N140NJ,Mcdonnell Douglas,DC-9-82,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,Vanguard Airlines Inc.,0.0,0.0,0.0,123.0,VMC,Landing,Probable Cause,17-06-2010
20020910X01576,Accident,ANC02FA107,2002-08-27,"KODIAK, AK",United States,57.646111,-153.307222,Unknown,John F. Kennedy International,Fatal(2),Substantial,Airplane,N7300R,Cessna,A185F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,C-air,2.0,2.0,0.0,3.0,VMC,Approach,Probable Cause,21-05-2013
20021029X05398,Accident,NYC03LA004,2002-10-14,"ALBANY, NY",United States,42.666667,-74.216667,ALB,Albany International Airport,Non-Fatal,Substantial,Airplane,N847EX,De Havilland,DHC-8-102,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Personal,Allegheny Airlines (dba: Us Airways Express),0.0,0.0,0.0,33.0,VMC,Descent,Probable Cause,10-02-2014
20030714X01104,Accident,ANC03LA071,2003-07-09,"Kotzebue, AK",United States,66.885555,-162.598611,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N410GV,Cessna,208B,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Personal,"Hageland Aviation Services Inc (dba: Hageland Aviation Services, Inc.)",0.0,1.0,0.0,2.0,VMC,Cruise,Probable Cause,17-11-2009
20030902X01433,Accident,NYC03CA169,2003-07-22,"Wadsworth, OH",United States,41.024723,-81.727223,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N504US,Boeing,757-251,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,Northwest Airlines Inc.,0.0,1.0,2.0,110.0,VMC,Climb,Probable Cause,25-11-2003
20031015X01732,Accident,ANC03CA114,2003-08-13,"KETCHIKAN, AK",United States,55.366667,-131.733333,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N59352,Cessna,206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Clifford S. Kamm (dba: Seawind Aviation),0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,25-11-2003
20030910X01507,Accident,NYC03FA186,2003-09-02,"JAMAICA, NY",United States,40.635555,-73.773889,JFK,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N454AA,Mcdonnell Douglas,DC-9-82,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Personal,American Airlines Inc,0.0,0.0,0.0,138.0,VMC,Taxi,Probable Cause,24-02-2014
